Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_PEACHESCANNED_DESC,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,Консервная банка с очищенными половинками персика без косточек в сладком сиропе.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.,A tin can filled with skinned halves of peaches without cores. Includes sweet sauce.
STR_DN_PUMP_DRINK,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water,Drink Water
STR_USERACTIONS_FEED_POTATO_ROTTEN,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Накормить гнилым картофелем,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato,Feed Rotten Potato
STR_ITEMS_PEACHESCANNED,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches,Консервированные персики,Canned Peaches,Canned Peaches,Canned Peaches,Canned Peaches
STR_USERACTIONS_FEED_POTATO,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Накормить картофелем,Feed Potato,Feed Potato,Feed Potato,Feed Potato
STR_USERACTIONS_EAT_POTATO_ROTTEN,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Съесть гнилой картофель,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato,Eat Rotten Potato
STR_USERACTIONS_EAT_POTATO,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Eat Potato,Съесть картофель,Eat Potato,Eat Potato,Eat Potato,Eat Potato
$STR_USERACTIONS_FEED_POTATO,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Feed Potato,Накормить картофелем,Feed Potato,Feed Potato,Feed Potato,Feed Potato
STR_ITEMS_WOODENSTICK_LONG,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick,Палка из ясеня,Ashwood Stick,Ashwood Stick,Ashwood Stick,Ashwood Stick
STR_ITEMS_WOODENSTICK_LONG_DESC,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,"Крепкая, но гибкая деревянная палка.",Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.,Some firm but flexible wooden stick.
STR_ITEMS_BUTANECANISTER,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Butane Canister,Баллон с бутаном,Butane Canister,Butane Canister,Butane Canister,Butane Canister
STR_ITEMS_BUTANECANISTER_DESC,"Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Пригоден для переносных газовых приборов (газовая плита, лампа). Хранить в сухом месте вдали от огня.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat.","Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat."
STR_ITEMS_SPRAYPAINT,Spraypaint,Spraypaint,Spraypaint,Spraypaint,Spraypaint,Spraypaint,Баллончик с зеленой краской,Spraypaint,Spraypaint,Spraypaint,Spraypaint
STR_ITEMS_SPRAYPAINT_GREEN,Green Spraypaint,Green Spraypaint,Green Spraypaint,Green Spraypaint,Green Spraypaint,Green Spraypaint,Баллончик с зеленой краской,Green Spraypaint,Green Spraypaint,Green Spraypaint,Green Spraypaint
STR_ITEMS_SPRAYPAINT_DESC,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,Аэрозольный распылитель с полуматовой краской. Содержимое под давлением!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!,A semi-gloss aerosol paint spraycan. Contents under pressure!
STR_DN_PUMP_FILL,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle,Fill Bottle
STR_ITEMS_SPRAYPAINT_BLACK,Black Spraypaint,Black Spraypaint,Black Spraypaint,Black Spraypaint,Black Spraypaint,Black Spraypaint,Баллончик с черной краской,Black Spraypaint,Black Spraypaint,Black Spraypaint,Black Spraypaint
STR_USERACTIONS_EAT_ROTTENOTOMATO,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato,Съесть гнилой помидор,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato,Eat Rotten Tomato
STR_USERACTIONS_FEED_TOMATO,Feed Tomato,Feed Tomato,Feed Tomato,Feed Tomato,Feed Tomato,Feed Tomato,Накормить помидором,Feed Tomato,Feed Tomato,Feed Tomato,Feed Tomato
STR_ITEMS_GREENBELLPEPPER_ROTTEN,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Гнилой зеленый перец,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper,Rotten Green Bell Pepper
STR_ITEMS_GREENBELLPEPPER_DESC,"Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Сладкий перец принадлежит к сортовой группе подвида Capsicum annuum. Сорта растения приносят плоды различной окраски, включая красные, желтые, оранжевые, зеленые, шоколадно-коричневые, ванильно-белые и пурпурные.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple.","Bell pepper is a cultivar group of the species Capsicum annuum. Cultivars of the plant produce fruits in different colors, including red, yellow, orange, green, chocolate/brown, vanilla/white, and purple."
